section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,100,0.6799999999999999,0.8629549468710435,0.740880905574768,0.3800324395786523,global-minmax,
cluster,1,62,0.8717948717948718,0.8706128803695022,0.9351207584625032,0.6068583425365218,zscore,
cluster,3,38,0.9791666666666666,0.872000260529164,0.9636072261072259,0.2630227379334252,zscore,
cluster-macro,avg,,0.9254807692307692,0.8713065704493331,0.9493639922848646,0.4349405402349735,zscore,
category,4,100,0.6799999999999999,0.8629549468583274,0.740880905574768,0.3800324387273207,zscore,
category-macro,avg,,0.6799999999999999,0.8629549468583274,0.740880905574768,0.3800324387273207,zscore,
