section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,33,0.7407407407407407,0.952284384634411,0.8448874860137212,0.4981049315067795,global-minmax,0.005240470989672867
cluster,8,33,0.7407407407407407,0.9522843846344108,0.8448874860137212,0.4981049273232166,mad,0.005240470989672867
cluster-macro,avg,,0.7407407407407407,0.9522843846344108,0.8448874860137212,0.4981049273232166,mad,
category,8,33,0.7407407407407407,0.9522843846344108,0.8448874860137212,0.4981049273232166,mad,0.005240470989672867
category-macro,avg,,0.7407407407407407,0.9522843846344108,0.8448874860137212,0.4981049273232166,mad,
sample-macro,ptAP,33,,,,0.5027450958014397,,
