section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,29,0.9238095238095239,0.9832148899497668,0.929093228200371,0.7104374623580428,global-minmax,0.014815612270057961
cluster,2,29,0.9238095238095239,0.9832148899332415,0.929093228200371,0.7104374632449637,mad,0.014815612270057961
cluster-macro,avg,,0.9238095238095239,0.9832148899332415,0.929093228200371,0.7104374632449637,mad,
category,2,29,0.9238095238095239,0.9832148899332415,0.929093228200371,0.7104374632449637,mad,0.014815612270057961
category-macro,avg,,0.9238095238095239,0.9832148899332415,0.929093228200371,0.7104374632449637,mad,
sample-macro,ptAP,29,,,,0.7921798082714452,,
