section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1312,0.8046090823970038,0.9196332318246532,0.8560005094410821,0.4447670778250208,global-minmax,0.013363019042264383
cluster,0,29,0.9476190476190476,0.8397851334580935,0.9465959479117372,0.4555450161322946,mad,0.046010740789189916
cluster,1,29,0.8571428571428571,0.964386756830344,0.8933508158508157,0.5459270138541719,mad,0.010704093392460432
cluster,2,29,0.9238095238095239,0.9715229242142258,0.9299964741141209,0.7050401695271881,mad,0.014815612270057961
cluster,3,34,0.9403508771929825,0.937504743956729,0.9518373762731756,0.5090724903197501,mad,0.014521165709423528
cluster,4,34,0.8035087719298246,0.9512054939059646,0.8848049312771489,0.637797898646044,mad,0.011787190135153681
cluster,5,33,0.7592592592592593,0.9515741669184307,0.8305137952798772,0.42350083212615974,mad,0.02423848973354322
cluster,6,33,0.7962962962962963,0.9503416567709764,0.8752868635427355,0.5574381345115073,mad,0.005271984102622098
cluster,7,33,0.8629629629629629,0.9598670391426405,0.9211105341373541,0.7942091299047238,mad,0.008974164336403195
cluster,8,33,0.7481481481481482,0.926624947928733,0.8576514957563345,0.5044120969112882,mad,0.005240470989672867
cluster,9,33,0.8814814814814815,0.977717256822295,0.9294820088830978,0.7647399465466165,mad,0.00855047866649474
cluster,10,34,0.8245614035087718,0.951499425705201,0.8770602600590207,0.5815809904745077,mad,0.009433797249156032
cluster,11,36,0.8380952380952381,0.9120205890266022,0.8920376552180327,0.48508112289650285,mad,0.020688317362743326
cluster,12,36,0.8253968253968255,0.9507219391984325,0.8988338951272665,0.6300094201620161,mad,0.019210211079056863
cluster,13,33,0.8999999999999999,0.9279782947664704,0.9461051823106152,0.4194265957464646,mad,0.033391012757542214
cluster,14,34,0.9087719298245615,0.9615631692022936,0.9170190376990186,0.608409497008401,mad,0.007278073872840466
cluster,15,34,0.9017543859649122,0.9564475273106341,0.9366403932536655,0.5469023573308582,mad,0.006202825905609405
cluster,16,34,0.7824561403508772,0.9576441057434362,0.868770933169887,0.5489992677062615,mad,0.006009231763241555
cluster,17,29,0.8428571428571429,0.9234948264099121,0.8662084995568158,0.367430052053926,mad,0.017954371901984085
cluster,18,29,0.8714285714285714,0.9175981909513795,0.8996289424860853,0.3752701745101503,mad,0.013043478260869565
cluster,19,29,0.9857142857142858,0.9684459264233991,0.9873949579831931,0.7162873672174774,mad,0.019883554229205066
cluster,20,30,0.9022222222222223,0.8664664737859815,0.9057482441305971,0.41996765302030464,mad,0.026678947665222844
cluster,21,29,0.7761904761904762,0.9051372075072921,0.7394945064272795,0.19455576856547208,mad,0.017619525089318553
cluster,22,38,0.7304347826086957,0.8938405975182271,0.8184438867332191,0.43802389957973525,mad,0.018303688332345892
cluster,23,31,0.7208333333333333,0.9241964169072525,0.7919923171915582,0.21104524830321852,mad,0.013863320064860423
cluster,24,38,0.8927536231884057,0.9479179385437922,0.9492170189875684,0.5672476744124051,mad,0.006283323551171683
cluster,25,37,0.6454545454545454,0.8399446572232315,0.7550208682675736,0.2053463385519144,mad,0.013238354945957482
cluster,26,6,1.0,0.8417126846882645,1.0,0.4703859205776373,mad,0.010814206654453727
cluster,27,29,0.7095238095238096,0.8388396083795848,0.723610893152094,0.1697490015895907,mad,0.02854937215865515
cluster,28,38,0.5652173913043479,0.7847939603282917,0.74578006222368,0.2594053836123444,mad,0.012865659767725057
cluster,29,37,0.6121212121212122,0.8299538609356234,0.8003496157061987,0.4419996064902189,mad,0.02117766478837928
cluster,30,33,0.6481481481481481,0.7581122065293578,0.7555508945786724,0.20050373130009025,mad,0.011333617618333632
cluster,31,31,1.0,0.9684095490516794,1.0,0.6619638855951681,mad,0.022078747278631
cluster,32,29,0.8857142857142858,0.8426999550237372,0.9114246864246862,0.26167413811459256,mad,0.008024610636239566
cluster,33,52,0.9717261904761904,0.9629835386261099,0.9704703455013051,0.6773223574167813,mad,0.011304293955373183
cluster,34,37,0.8090909090909091,0.8901349447464274,0.8928840295919171,0.42678584148283405,mad,0.017268400462765496
cluster,35,37,0.6515151515151515,0.9419583029582396,0.8030964170893977,0.4035355175662377,mad,0.005106634683309097
cluster,36,29,0.8,0.9133652400850205,0.8488306534735106,0.41382894720804286,mad,0.010179883240661308
cluster,37,29,0.9571428571428572,0.9885745610214298,0.9566780558377195,0.5655622420372577,mad,0.006072829529855487
cluster,38,37,0.8333333333333335,0.9601011199312431,0.918578788264617,0.8318636105570155,mad,0.007699462677020052
cluster,39,37,0.9060606060606061,0.9644707711893892,0.9503682302125014,0.807112617956347,mad,0.008288460236619733
cluster-macro,avg,,0.8304774506603024,0.9180389427416593,0.8836967378421023,0.49512397393808794,mad,
category,0,29,0.9476190476190476,0.8397851334580935,0.9465959479117372,0.4555450161322946,mad,0.046010740789189916
category,1,29,0.8571428571428571,0.964386756830344,0.8933508158508157,0.5459270138541719,mad,0.010704093392460432
category,2,29,0.9238095238095239,0.9715229242142258,0.9299964741141209,0.7050401695271881,mad,0.014815612270057961
category,3,34,0.9403508771929825,0.937504743956729,0.9518373762731756,0.5090724903197501,mad,0.014521165709423528
category,4,36,0.7809523809523808,0.9430376795262969,0.8745489891863181,0.619475733933307,mad,0.01094465187956666
category,5,33,0.7592592592592593,0.9515741669184307,0.8305137952798772,0.42350083212615974,mad,0.02423848973354322
category,6,33,0.7962962962962963,0.9503416567709764,0.8752868635427355,0.5574381345115073,mad,0.005271984102622098
