section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,29,0.8666666666666667,0.9365959474939289,0.8789049769091786,0.4207752571344654,global-minmax,0.017954371901984085
cluster,17,29,0.8666666666666667,0.9365959473652671,0.8789049769091786,0.42077526210544297,mad,0.017954371901984085
cluster-macro,avg,,0.8666666666666667,0.9365959473652671,0.8789049769091786,0.42077526210544297,mad,
category,17,29,0.8666666666666667,0.9365959473652671,0.8789049769091786,0.42077526210544297,mad,0.017954371901984085
category-macro,avg,,0.8666666666666667,0.9365959473652671,0.8789049769091786,0.42077526210544297,mad,
sample-macro,ptAP,29,,,,0.5439912867600613,,
