section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,33,0.9037037037037037,0.9507171564644461,0.9438341750841751,0.5017592162015261,global-minmax,0.033391012757542214
cluster,13,33,0.9037037037037037,0.9507171563928676,0.9438341750841751,0.5017592163942626,mad,0.033391012757542214
cluster-macro,avg,,0.9037037037037037,0.9507171563928676,0.9438341750841751,0.5017592163942626,mad,
category,13,33,0.9037037037037037,0.9507171563928676,0.9438341750841751,0.5017592163942626,mad,0.033391012757542214
category-macro,avg,,0.9037037037037037,0.9507171563928676,0.9438341750841751,0.5017592163942626,mad,
sample-macro,ptAP,33,,,,0.5536750420565607,,
