section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,36,0.8031746031746032,0.9427350797241913,0.8996101151784479,0.6319309106958203,global-minmax,0.01094465187956666
cluster,4,34,0.8807017543859649,0.9565372126606677,0.9317672170857767,0.6486043610946781,mad,0.011787190135153681
cluster,23,2,nan,0.33833105717492346,nan,0.0020067374321512017,mad,0.0029146751065753777
cluster-macro,avg,,0.8807017543859649,0.9565372126606677,0.9317672170857767,0.6486043610946781,mad,
category,4,36,0.8031746031746032,0.9427350797513432,0.8996101151784479,0.6319309089043655,mad,0.01094465187956666
category-macro,avg,,0.8031746031746032,0.9427350797513432,0.8996101151784479,0.6319309089043655,mad,
sample-macro,ptAP,36,,,,0.5217300092790442,,
