section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,29,0.9857142857142858,0.9101053608264285,0.9873949579831931,0.4718726061657982,global-minmax,0.046010740789189916
cluster,0,29,0.9857142857142858,0.9101053608719917,0.9873949579831931,0.47187260609401804,mad,0.046010740789189916
cluster-macro,avg,,0.9857142857142858,0.9101053608719917,0.9873949579831931,0.47187260609401804,mad,
category,0,29,0.9857142857142858,0.9101053608719917,0.9873949579831931,0.47187260609401804,mad,0.046010740789189916
category-macro,avg,,0.9857142857142858,0.9101053608719917,0.9873949579831931,0.47187260609401804,mad,
sample-macro,ptAP,29,,,,0.611998387783844,,
