section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,36,0.8222222222222222,0.9710706624377461,0.8977654656381084,0.637710533440427,global-minmax,0.019210211079056863
cluster,12,36,0.8222222222222222,0.9710706625369177,0.8977654656381084,0.6377105320879366,mad,0.019210211079056863
cluster-macro,avg,,0.8222222222222222,0.9710706625369177,0.8977654656381084,0.6377105320879366,mad,
category,12,36,0.8222222222222222,0.9710706625369177,0.8977654656381084,0.6377105320879366,mad,0.019210211079056863
category-macro,avg,,0.8222222222222222,0.9710706625369177,0.8977654656381084,0.6377105320879366,mad,
sample-macro,ptAP,36,,,,0.5297533634328978,,
