section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,34,0.9438596491228071,0.9615380454428896,0.9453570606515855,0.508097911449454,global-minmax,0.014521165709423528
cluster,3,34,0.9438596491228071,0.9615380453859724,0.9453570606515855,0.5080979140534434,mad,0.014521165709423528
cluster-macro,avg,,0.9438596491228071,0.9615380453859724,0.9453570606515855,0.5080979140534434,mad,
category,3,34,0.9438596491228071,0.9615380453859724,0.9453570606515855,0.5080979140534434,mad,0.014521165709423528
category-macro,avg,,0.9438596491228071,0.9615380453859724,0.9453570606515855,0.5080979140534434,mad,
sample-macro,ptAP,34,,,,0.5464509187709802,,
