section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,33,0.8666666666666667,0.9458562014384212,0.9191736848450403,0.586185780313155,global-minmax,0.005271984102622098
cluster,6,33,0.8666666666666667,0.9458562015976908,0.9191736848450403,0.5861857080188276,mad,0.005271984102622098
cluster-macro,avg,,0.8666666666666667,0.9458562015976908,0.9191736848450403,0.5861857080188276,mad,
category,6,33,0.8666666666666667,0.9458562015976908,0.9191736848450403,0.5861857080188276,mad,0.005271984102622098
category-macro,avg,,0.8666666666666667,0.9458562015976908,0.9191736848450403,0.5861857080188276,mad,
sample-macro,ptAP,33,,,,0.6491447893891642,,
