section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,36,0.8507936507936508,0.9235230994479853,0.9019802842303206,0.48302055170114355,global-minmax,0.020688317362743326
cluster,11,36,0.8507936507936508,0.9235230993993558,0.9019802842303206,0.48302054721885057,mad,0.020688317362743326
cluster-macro,avg,,0.8507936507936508,0.9235230993993558,0.9019802842303206,0.48302054721885057,mad,
category,11,36,0.8507936507936508,0.9235230993993558,0.9019802842303206,0.48302054721885057,mad,0.020688317362743326
category-macro,avg,,0.8507936507936508,0.9235230993993558,0.9019802842303206,0.48302054721885057,mad,
sample-macro,ptAP,36,,,,0.4552256044883772,,
