section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1206,0.5601719434115862,0.7620487176884049,0.5293688048240645,0.05569185897494546,global-minmax,0.01489765921299288
cluster,1,753,0.5676331569664903,0.7669833969864573,0.5752292787729942,0.059729410767691754,mad,0.014293673745790342
cluster,2,69,0.6517241379310345,0.6877622537561056,0.773506188486922,0.1408148311913278,mad,0.010778412517477208
cluster,3,43,0.9819004524886878,0.8795944781517123,0.9709474950574022,0.1339548908799496,mad,0.018392862192099575
cluster,5,2,0.0,0.9744203820174504,0.5,0.2396694713626239,mad,0.0069691529607930295
cluster,6,195,0.5104761904761905,0.7469053817732834,0.44266789054857386,0.04894353599735948,mad,0.014986676187121977
cluster,7,2,nan,nan,nan,nan,mad,0.0
cluster,8,9,0.55,0.4069641532676428,0.7453968253968253,0.015899278986033907,mad,0.017823537841553504
cluster,10,126,0.6230710852517076,0.6672813385378886,0.6661257350384963,0.04641890691219896,mad,0.025159385245117415
cluster,11,7,0.6666666666666667,0.7424259193201134,0.6791666666666667,0.01533086637559454,mad,0.005559263055032533
cluster-macro,avg,,0.5689339612225972,0.7340421629763317,0.6691300099959852,0.08759514905909749,mad,
category,0,100,0.5092,0.7514306843450635,0.6023991664660164,0.03862390239021761,mad,0.008065385230674004
category,1,100,0.6008,0.6029610473784607,0.604570410242559,0.040547811816848967,mad,0.012432779964917715
category,2,100,0.4564,0.6831166203741581,0.45741580274787175,0.029846048225791805,mad,0.010159879649481405
category,3,106,0.8023504273504273,0.7833742502686661,0.7935726948115097,0.08208937326682926,mad,0.02583379393953197
category,4,100,0.7652,0.9365137745112166,0.8005609972253199,0.3965854514967219,mad,0.02684472796406158
category,5,100,0.7724000000000001,0.7657630856754908,0.7502474745209031,0.1581597040489579,mad,0.009491377722597687
category,6,100,0.7592,0.8413457500736019,0.7953540172466385,0.21115070665384583,mad,0.014308994710524348
category,7,100,0.5912000000000001,0.6658652322715222,0.5688222735533817,0.023428540987882468,mad,0.0069569312237245835
category,8,100,0.4996,0.6271939261952939,0.5511298007872185,0.03269695251901149,mad,0.022768346827472606
category,9,100,0.5172275641025641,0.77034813130778,0.5861299404531664,0.11758591051783104,mad,0.01079495306322003
category,10,100,0.5776,0.6556708291292326,0.5205346871597146,0.055229545174714116,mad,0.023050126425971623
category,11,100,0.7096,0.8142041872754567,0.7733246083642259,0.2658879334944761,mad,0.012015175552230344
category-macro,avg,,0.6300648326210826,0.7414822932338287,0.6503384894648772,0.12098599004942735,mad,
sample-macro,ptAP,1206,,,,0.20848790807888168,,
