section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,29,0.8619047619047618,0.9063229067514227,0.8694880539628438,0.37568291433531753,global-minmax,0.013043478260869565
cluster,18,29,0.8619047619047618,0.9063229070667154,0.8694880539628438,0.37568290897730405,mad,0.013043478260869565
cluster-macro,avg,,0.8619047619047618,0.9063229070667154,0.8694880539628438,0.37568290897730405,mad,
category,18,29,0.8619047619047618,0.9063229070667154,0.8694880539628438,0.37568290897730405,mad,0.013043478260869565
category-macro,avg,,0.8619047619047618,0.9063229070667154,0.8694880539628438,0.37568290897730405,mad,
sample-macro,ptAP,29,,,,0.48138516278548166,,
