section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,33,0.9074074074074074,0.9821553405638334,0.9392003367003368,0.7990562487565118,global-minmax,0.008974164336403195
cluster,7,33,0.9074074074074074,0.982155340549044,0.9392003367003368,0.799056248761815,mad,0.008974164336403195
cluster-macro,avg,,0.9074074074074074,0.982155340549044,0.9392003367003368,0.799056248761815,mad,
category,7,33,0.9074074074074074,0.982155340549044,0.9392003367003368,0.799056248761815,mad,0.008974164336403195
category-macro,avg,,0.9074074074074074,0.982155340549044,0.9392003367003368,0.799056248761815,mad,
sample-macro,ptAP,33,,,,0.8174912309763979,,
