section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,29,0.8523809523809524,0.962164690896845,0.8786236312706899,0.5605681627556138,global-minmax,0.010704093392460432
cluster,1,29,0.8523809523809524,0.9621646909943434,0.8786236312706899,0.5605681906931723,mad,0.010704093392460432
cluster-macro,avg,,0.8523809523809524,0.9621646909943434,0.8786236312706899,0.5605681906931723,mad,
category,1,29,0.8523809523809524,0.9621646909943434,0.8786236312706899,0.5605681906931723,mad,0.010704093392460432
category-macro,avg,,0.8523809523809524,0.9621646909943434,0.8786236312706899,0.5605681906931723,mad,
sample-macro,ptAP,29,,,,0.7256296998182339,,
