section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,34,0.9192982456140351,0.9623397071343751,0.9434285013232382,0.6494354867907592,global-minmax,0.007278073872840466
cluster,14,34,0.9192982456140351,0.9623397071575548,0.9434285013232382,0.6494354873799701,mad,0.007278073872840466
cluster-macro,avg,,0.9192982456140351,0.9623397071575548,0.9434285013232382,0.6494354873799701,mad,
category,14,34,0.9192982456140351,0.9623397071575548,0.9434285013232382,0.6494354873799701,mad,0.007278073872840466
category-macro,avg,,0.9192982456140351,0.9623397071575548,0.9434285013232382,0.6494354873799701,mad,
sample-macro,ptAP,34,,,,0.6562492407019139,,
