section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,34,0.880701754385965,0.9664202897961472,0.9315839715387539,0.5674883953143425,global-minmax,0.006202825905609405
cluster,15,34,0.880701754385965,0.966420289805838,0.9315839715387539,0.567488399526928,mad,0.006202825905609405
cluster-macro,avg,,0.880701754385965,0.966420289805838,0.9315839715387539,0.567488399526928,mad,
category,15,34,0.880701754385965,0.966420289805838,0.9315839715387539,0.567488399526928,mad,0.006202825905609405
category-macro,avg,,0.880701754385965,0.966420289805838,0.9315839715387539,0.567488399526928,mad,
sample-macro,ptAP,34,,,,0.6457425938285848,,
