section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,34,0.8771929824561404,0.9625911381573033,0.9180406959289149,0.6391018261579856,global-minmax,0.009433797249156032
cluster,10,34,0.8771929824561404,0.9625911381201825,0.9180406959289149,0.6391018109054101,mad,0.009433797249156032
cluster-macro,avg,,0.8771929824561404,0.9625911381201825,0.9180406959289149,0.6391018109054101,mad,
category,10,34,0.8771929824561404,0.9625911381201825,0.9180406959289149,0.6391018109054101,mad,0.009433797249156032
category-macro,avg,,0.8771929824561404,0.9625911381201825,0.9180406959289149,0.6391018109054101,mad,
sample-macro,ptAP,34,,,,0.6670886411899679,,
