section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,34,0.7789473684210526,0.9667857669001078,0.8584895037912279,0.544185332795126,global-minmax,0.006009231763241555
cluster,16,34,0.7789473684210526,0.9667857669394986,0.8584895037912279,0.5441853443318861,mad,0.006009231763241555
cluster-macro,avg,,0.7789473684210526,0.9667857669394986,0.8584895037912279,0.5441853443318861,mad,
category,16,34,0.7789473684210526,0.9667857669394986,0.8584895037912279,0.5441853443318861,mad,0.006009231763241555
category-macro,avg,,0.7789473684210526,0.9667857669394986,0.8584895037912279,0.5441853443318861,mad,
sample-macro,ptAP,34,,,,0.6069381771363042,,
