section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,33,0.7518518518518518,0.9583957831090664,0.8108656526492783,0.41260134341657256,global-minmax,0.02423848973354322
cluster,5,33,0.7518518518518518,0.9583957830981636,0.8108656526492783,0.4126013415365392,mad,0.02423848973354322
cluster-macro,avg,,0.7518518518518518,0.9583957830981636,0.8108656526492783,0.4126013415365392,mad,
category,5,33,0.7518518518518518,0.9583957830981636,0.8108656526492783,0.4126013415365392,mad,0.02423848973354322
category-macro,avg,,0.7518518518518518,0.9583957830981636,0.8108656526492783,0.4126013415365392,mad,
sample-macro,ptAP,33,,,,0.5235985758487148,,
