section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,29,0.980952380952381,0.8952411251291787,0.9804748822605964,0.46981514762256615,global-minmax,0.046010740789189916
cluster,0,29,0.980952380952381,0.8952411251918282,0.9804748822605964,0.4698151690167795,mad,0.046010740789189916
cluster-macro,avg,,0.980952380952381,0.8952411251918282,0.9804748822605964,0.4698151690167795,mad,
category,0,29,0.980952380952381,0.8952411251918282,0.9804748822605964,0.4698151690167795,mad,0.046010740789189916
category-macro,avg,,0.980952380952381,0.8952411251918282,0.9804748822605964,0.4698151690167795,mad,
sample-macro,ptAP,29,,,,0.6019318835028636,,
