section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1206,0.5475484587797849,0.7290024052668636,0.5345293261997663,0.046823169759561155,global-minmax,
cluster,0,1,nan,0.6625833655935133,nan,0.08306655703780076,zscore,
cluster,1,739,0.5504036097803953,0.7480744760566278,0.5647193775470785,0.04785529305088661,zscore,
cluster,2,78,0.6488095238095238,0.7928232157383008,0.7370050683983518,0.19660250023494427,zscore,
cluster,3,44,0.8474945533769063,0.8608450507360986,0.745256444823919,0.11754923472843598,zscore,
cluster,5,2,1.0,0.9307009827251542,1.0,0.045711484674483716,zscore,
cluster,6,132,0.538479262672811,0.7005105159574345,0.46859620770437793,0.06529883150833579,zscore,
cluster,7,2,nan,nan,nan,nan,zscore,
cluster,8,108,0.4907407407407408,0.4884189867948432,0.5248082789902463,0.028799389008422608,zscore,
cluster,10,99,0.539624183006536,0.5739217587243726,0.6116936186064718,0.09644923227566535,zscore,
cluster,11,1,nan,0.27531991234524833,nan,0.006317578106628563,zscore,
cluster-macro,avg,,0.6593645533409875,0.7278992838189761,0.6645827137243493,0.08546656649731063,zscore,
category,0,100,0.568,0.7335262872461934,0.6145814997913512,0.03246650689980513,zscore,
category,1,100,0.49560000000000004,0.6319929252469086,0.5540783720501643,0.01993405626388419,zscore,
category,2,100,0.5187999999999999,0.720823358301642,0.4835910913093673,0.03326872642764445,zscore,
category,3,106,0.7318376068376069,0.769231501057277,0.7329044361463306,0.07307282863938597,zscore,
category,4,100,0.8267999999999999,0.9229568047561202,0.8646112441882543,0.35339317572976325,zscore,
category,5,100,0.55,0.7320622944138562,0.5965143509480956,0.050274729326427556,zscore,
category,6,100,0.6527999999999999,0.7208315364267338,0.7066024532254005,0.09371872930935299,zscore,
category,7,100,0.5227999999999999,0.6317026444305835,0.5217656154687638,0.019041994239736754,zscore,
category,8,100,0.482,0.4979048913266778,0.535406872912613,0.029973756296711385,zscore,
category,9,100,0.4743589743589744,0.7604361166784015,0.5031482314960541,0.08784520928885456,zscore,
category,10,100,0.5284,0.56889245744525,0.5398315552427053,0.0875304749977599,zscore,
category,11,100,0.6456000000000001,0.7608118747418015,0.712256845237083,0.33610584791292075,zscore,
category-macro,avg,,0.5830830484330485,0.7042643910059537,0.6137743806680153,0.1013855029443539,zscore,
