section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1206,0.5621383467910497,0.6707936097879692,0.5589080204424346,0.07461951100894856,global-minmax,
cluster,0,1,nan,0.4561684767120787,nan,0.04450465581083333,zscore,
cluster,1,739,0.5652075184224792,0.7003976906537855,0.5747480177292799,0.07557747926048829,zscore,
cluster,2,78,0.6137566137566137,0.6242095479406128,0.7215041492773542,0.13167586093154482,zscore,
cluster,3,44,0.9455337690631809,0.7962672397906296,0.9164216566465702,0.14865920789981724,zscore,
cluster,5,2,0.0,0.9010956158403433,0.5,0.032215313864203815,zscore,
cluster,6,132,0.5463133640552996,0.4823637573340101,0.548593903845519,0.10275143022877295,zscore,
cluster,7,2,nan,nan,nan,nan,zscore,
cluster,8,108,0.541838134430727,0.5063290591467489,0.570462433602928,0.024011865865756602,zscore,
cluster,10,99,0.5661764705882353,0.6446001647768005,0.5952253729499001,0.11543370690532362,zscore,
cluster,11,1,nan,0.4367837397873015,nan,0.007936552776668132,zscore,
cluster-macro,avg,,0.5398322671880765,0.6650375822118474,0.6324222191502216,0.09004640927941535,zscore,
category,0,100,0.5696,0.7286314616914801,0.639987520115628,0.07475193988074696,zscore,
category,1,100,0.48839999999999995,0.5017323278993588,0.5123019036489427,0.015272491276609075,zscore,
category,2,100,0.504,0.5758870632478038,0.5254723414810837,0.10526093964418355,zscore,
category,3,106,0.7834757834757834,0.7208981707518052,0.7837908848600492,0.10281873171040792,zscore,
category,4,100,0.6563999999999999,0.822298536924884,0.7208505468219479,0.35174748184432547,zscore,
category,5,100,0.5844,0.7808316440468934,0.5597357292866638,0.1378423849681739,zscore,
category,6,100,0.6048,0.4738895351270449,0.6781615851038252,0.15396516805675414,zscore,
category,7,100,0.5808,0.45606107224056003,0.5861636559018855,0.008033539938270173,zscore,
category,8,100,0.5136,0.5077445808327429,0.5102576569232314,0.025321756401960487,zscore,
category,9,100,0.49759615384615385,0.7556503785460003,0.5470725711178175,0.12087287165853497,zscore,
category,10,100,0.5464000000000001,0.6408484812331869,0.5574692740847982,0.11028116638353465,zscore,
category,11,100,0.588,0.6110197300894022,0.6225462810076388,0.16272069549464743,zscore,
category-macro,avg,,0.5764559947768282,0.6312910818859301,0.603650829196126,0.11407409727151237,zscore,
